link,name,price
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1660-super-6gb-oc-gv-n166soc-6gd/,GIGABYTE GeForce GTX 1660 Super 6GB OC (GV-N166SOC-6GD),18 704
hotline.ua/computer-videokarty/inno3d-geforce-rtx-3060-twin-x2-oc-n30602-12d6x-11902120/,INNO3D GEFORCE RTX 3060 TWIN X2 OC (N30602-12D6X-11902120),33 164
hotline.ua/computer-videokarty/gigabyte-geforce-rtx-2060-oc-6g-gv-n2060oc-6gd/,GIGABYTE GeForce RTX 2060 OC 6G (GV-N2060OC-6GD),23 036
hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3070-vision-oc-8g-gv-n3070vision-oc-8gd/,GIGABYTE GeForce RTX 3070 VISION OC 8G (GV-N3070VISION OC-8GD),47 214
hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3070-gaming-oc-8g-gv-n3070gaming-oc-8gd/,GIGABYTE GeForce RTX 3070 GAMING OC 8G (GV-N3070GAMING OC-8GD),47 076
hotline.ua/computer-videokarty/gigabyte-radeon-rx-580-gaming-4g-gv-rx580gaming-4gd/,GIGABYTE Radeon RX 580 Gaming 4G (GV-RX580GAMING-4GD),19 999
hotline.ua/computer-videokarty/msi-geforce-rtx-3070-ventus-3x-oc/,MSI GeForce RTX 3070 VENTUS 3X OC,46 382
hotline.ua/computer-videokarty/inno3d-geforce-rtx-3060-ichill-x3-red-c30603-12d6x-1671va39a/,INNO3D GEFORCE RTX 3060 ICHILL X3 RED (C30603-12D6X-1671VA39A),35 256
hotline.ua/computer-videokarty/msi-geforce-rtx-3070-gaming-x-trio/,MSI GeForce RTX 3070 GAMING X TRIO,48 721
hotline.ua/computer-videokarty/msi-geforce-gtx-1660-super-ventus-xs-oc/,MSI GeForce GTX 1660 SUPER VENTUS XS OC,18 556
hotline.ua/computer-videokarty/palit-geforce-gtx-1660-super-gamingpro-oc-ne6166ss18j9-1160a/,Palit GeForce GTX 1660 Super GamingPro OC (NE6166SS18J9-1160A),18 959
hotline.ua/computer-videokarty/gainward-geforce-gtx-1660-super-ghost-oc-471056224-1396/,Gainward GeForce GTX 1660 SUPER Ghost OC (471056224-1396),18 195
hotline.ua/computer-videokarty/asus-tuf-rtx3060ti-8g-gaming/,ASUS TUF-RTX3060TI-8G-GAMING,41 499
hotline.ua/computer-videokarty/msi-geforce-gtx-1660-ventus-xs-6g-oc/,MSI GeForce GTX 1660 VENTUS XS 6G OC,16 039
hotline.ua/computer-videokarty/powercolor-amd-radeon-rx-6900-xt-red-devil-axrx-6900xt-16gbd6-3dheoc/,PowerColor AMD Radeon RX 6900 XT Red Devil (AXRX 6900XT 16GBD6-3DHE/OC),51 864
hotline.ua/computer-videokarty/msi-radeon-rx-5500-xt-gaming-x-8g/,MSI Radeon RX 5500 XT GAMING X 8G,16 747
hotline.ua/computer-videokarty/gigabyte-aorus-geforce-rtx-3080-xtreme-10g-gv-n3080aorus-x-10gd/,GIGABYTE AORUS GeForce RTX 3080 XTREME 10G (GV-N3080AORUS X-10GD),63 000
hotline.ua/computer-videokarty/msi-geforce-gtx-1050-ti-gaming-x-4g/,MSI GeForce GTX 1050 TI GAMING X 4G,8 299
hotline.ua/computer-videokarty/msi-geforce-rtx-3070-ventus-2x-oc/,MSI GeForce RTX 3070 VENTUS 2X OC,46 349
